Open,Type,Volume,Symbol,O_Price,SL,TP,Close,C_Price,Commissions,Profit,Pips,Trade duration in seconds
27/12/2023 16:02,sell,8,EURCHF,0.9646,0.96489,0.96431,13/11/2023 18:53,0.9644,-19.57,-57.1,2,2041
03/01/2024 11:14,buy,4.4,EURCHF,0.96309,0,0,10/11/2023 17:00,0.964,-10.81,-64.44,9.1,1587
03/01/2024 13:21,buy,3.72,EURCHF,0.96368,0.96326,0.96436,10/11/2023 11:25,0.96338,-9.14,-69.17,-3,697
05/01/2024 11:15,sell,12,XAUUSD,1949.68,1947.43,1952.04,09/11/2023 10:12,1947.12,-11.76,-711.69,-2.56,2176
05/01/2024 11:29,sell,4.15,NZDCAD,0.81729,0,0.81621,08/11/2023 17:21,0.81636,-10.14,-71.84,9.3,3969
05/01/2024 11:47,sell,2.85,EURCHF,0.9651,0,0.96424,06/11/2023 15:45,0.96436,-6.89,-72.59,7.4,4654
16/01/2024 13:08,sell,2.62,NZDCAD,0.81819,0.81819,0.81739,06/11/2023 11:09,0.81745,-6.34,-73.69,7.4,3150
23/01/2024 11:30,buy,15,EURCHF,0.96362,0,0,06/11/2023 09:57,0.96387,-36.5,750.39,-2.5,79
23/01/2024 13:04,buy,3.5,EURCHF,0.96357,0,0,06/11/2023 09:57,0.96392,-8.48,81,-3.5,139
26/01/2024 16:21,sell,3.5,CHFJPY,166.333,0,0,03/11/2023 19:25,166.258,-8.49,-83.99,7.5,937
26/01/2024 20:36,sell,2.22,CADCHF,0.65525,0,0,01/11/2023 20:24,0.65529,-5.5,-89.15,-0.4,11560
26/01/2024 20:41,sell,6,CADCHF,0.65585,0,0,01/11/2023 20:24,0.6553,-14.84,-89.3,5.5,9214
26/01/2024 21:43,sell,1,CADCHF,0.65584,0,0,01/11/2023 20:24,0.65526,-2.47,-90.52,5.8,9169
29/01/2024 13:48,sell,1.58,EURCHF,0.95909,0,0,01/11/2023 20:24,0.95886,-3.91,-93.56,2.3,6158
29/01/2024 16:53,sell,2.21,EURCHF,0.95906,0,0,01/11/2023 20:24,0.95886,-5.47,-93.97,2,6094
29/01/2024 17:13,sell,4.9,EURGBP,0.87112,0.87156,0,27/10/2023 11:06,0.87151,-12.14,-96.42,-3.9,982
01/02/2024 12:23,buy,4.35,EURCHF,0.94716,0.94666,0.94766,26/10/2023 11:03,0.94766,-10.8,-98.14,5,3513
01/02/2024 13:18,sell,8,EURCHF,0.94719,0,0,25/10/2023 14:42,0.94694,-19.79,-99.19,2.5,256
01/02/2024 15:04,sell,3,GBPUSD,1.21671,0,0,23/10/2023 16:55,1.21667,-7.4,-99.23,0.4,97
01/02/2024 16:09,sell,2,EURCHF,0.9476,0,0,23/10/2023 16:36,0.94756,-4.94,-101.19,0.4,51
01/02/2024 16:09,sell,4.9,EURGBP,0.87219,0,0,23/10/2023 15:57,0.87217,-12.08,-101.42,0.2,781
01/02/2024 16:10,sell,1.35,EURCHF,0.94661,0.94746,0.94506,23/10/2023 11:46,0.94583,-3.33,-102.69,7.8,1685
05/02/2024 15:41,buy,4.38,EURGBP,0.87122,0,0,20/10/2023 22:00,0.87125,-10.81,-102.92,0.3,2456
05/02/2024 16:08,sell,0.85,EURUSD,1.05938,1.05965,1.05661,20/10/2023 19:25,1.05881,-2.1,-103.83,5.7,2311
05/02/2024 17:59,sell,2.49,EURUSD,1.05897,1.05995,1.05784,20/10/2023 16:59,1.05799,-6.16,-104.4,9.8,3325
06/02/2024 17:10,buy,1.4,EURUSD,1.05381,1.0532,1.0548,19/10/2023 11:39,1.05319,-3.46,-106,-6.2,3150
07/02/2024 10:59,sell,2.2,EURGBP,0.86893,0,0,19/10/2023 10:55,0.86949,-5.44,-108.74,-5.6,858
08/02/2024 13:24,buy,3.95,EURUSD,1.05266,1.05231,1.05402,18/10/2023 20:01,1.05403,-9.75,-110.19,13.7,1583
08/02/2024 14:00,buy,3.05,EURGBP,0.86674,0,0,18/10/2023 16:24,0.86744,-7.51,-116.54,7,703
08/02/2024 15:31,buy,5.08,EURUSD,1.05573,0,0,18/10/2023 15:46,1.05513,-12.51,-116.6,-6,378
08/02/2024 16:22,sell,2.35,EURUSD,1.05816,1.0583,1.05735,18/10/2023 12:47,1.05742,-5.77,-117.85,7.4,728
08/02/2024 16:23,sell,2,EURUSD,1.05816,1.05873,0,18/10/2023 12:41,1.05779,-4.92,-120.07,3.7,360
12/02/2024 12:01,buy,2.08,EURUSD,1.0545,0,0,17/10/2023 16:15,1.05565,-5.14,-123.2,11.5,684
14/02/2024 11:34,buy,1.43,GBPUSD,1.22772,1.22772,0,11/10/2023 11:30,1.22772,-3.5,-125.09,0,275
14/02/2024 13:36,sell,6,EURUSD,1.061,0,0,11/10/2023 10:27,1.06073,-14.65,-126,2.7,190
14/02/2024 13:38,buy,12,EURUSD,1.05266,0,0,09/10/2023 14:07,1.05325,-19.05,1130.27,5.9,2919
15/02/2024 10:43,buy,3.7,EURJPY,156.335,156.226,0,05/10/2023 10:11,156.434,-9.14,-136,9.9,848
15/02/2024 10:43,buy,0.57,GBPUSD,1.21418,1.21195,0,02/10/2023 17:49,1.21207,-1.41,-142.53,-21.1,1455
15/02/2024 10:43,buy,0.41,GBPUSD,1.21469,1.21195,0,02/10/2023 17:49,1.21205,-1.02,-159.92,-26.4,2840
27/02/2024 17:10,buy,0.89,GBPUSD,1.21885,1.21755,1.22014,02/10/2023 12:32,1.21757,-2.2,-162.23,-12.8,4874
28/02/2024 15:06,buy,1.06,EURUSD,1.05686,1.05579,1.05797,02/10/2023 12:03,1.05572,-2.61,-182.97,-11.4,2871
29/02/2024 16:07,sell,1.55,EURJPY,157.403,0,0,28/09/2023 16:31,157.525,-3.82,-187.03,-12.2,356
04/03/2024 16:52,sell,2.25,GBPJPY,181.371,0,0,26/09/2023 16:29,181.454,-5.54,-188,-8.3,127
04/03/2024 17:01,sell,2.64,GBPJPY,181.412,0,0,26/09/2023 12:15,181.498,-6.5,-191.1,-8.6,171
04/03/2024 17:09,sell,2,EURGBP,0.86947,0.87,0,26/09/2023 12:09,0.87,-4.92,-202.29,-5.3,2916
04/03/2024 17:09,buy,17,EURGBP,0.86963,0.86995,0.86931,25/09/2023 16:11,0.86931,-7.37,1250.01,3.2,2412
05/03/2024 11:38,buy,2.67,GBPJPY,181.711,0,0,25/09/2023 11:11,181.642,-6.54,-205.52,-6.9,417
05/03/2024 12:05,buy,2.67,EURUSD,1.06439,0,0,25/09/2023 10:39,1.06394,-6.54,-220,-4.5,797
05/03/2024 15:12,sell,1.5,USDCHF,0.90633,0.907,0.90577,22/09/2023 21:02,0.907,-3.68,-222.95,-6.7,7550
06/03/2024 10:58,sell,0.85,USDCHF,0.90645,0.90702,0.90577,22/09/2023 21:02,0.90702,-2.08,-231.2,-5.7,4061
06/03/2024 11:30,buy,2,EURUSD,1.06577,0,0,22/09/2023 20:32,1.06533,-4.9,-239.91,-4.4,1262
06/03/2024 16:04,sell,7,EURUSD,1.06573,0,1.06616,22/09/2023 20:32,1.06543,-10,750.05,-3,481
11/03/2024 18:21,sell,1.6,CHFJPY,164.938,0,0,20/09/2023 10:40,165.034,-3.88,-250.37,-9.6,284
11/03/2024 18:21,sell,0.5,EURGBP,0.85883,0.85845,0.85883,12/09/2023 16:00,0.85888,-1.2,265.21,0.5,974
14/03/2024 10:01,sell,0.5,EURGBP,0.85883,0.85845,0.85883,12/09/2023 15:59,0.85876,-1.2,277.56,-0.7,934
14/03/2024 10:08,sell,1,EURGBP,0.85883,0.85845,0.85883,12/09/2023 15:59,0.85873,-2.4,299.55,-1,901
14/03/2024 10:30,sell,0.7,EURGBP,0.85883,0.85845,0.85883,12/09/2023 15:58,0.85868,-1.68,304.17,-1.5,883
